merchant_id,merchant_name,mcc,merchant_category,business_type,city,state,onboarding_date,settlement_account,merchant_status,declared_avg_ticket_size,merchant_id_raw,ticket_size_negative_flag,ticket_size_missing_flag,mcc_missing_flag,settlement_account_missing_flag,onboarding_date_missing_flag,merchant_suspended_flag,merchant_blocked_flag
MCH5089,Korpal-Parmer,5311,Retail,Private Limited,Jaipur,Rajasthan,2024-06-14 00:00:00,,ACTIVE,0.373,MCH5089,0,0,0,1,0,0,0
MCH5112,nigam-chawla,4131,Transportation,Private Limited,Chennai,Tamil Nadu,2025-09-06 00:00:00,,INACTIVE,353.3,MCH5112,0,0,0,1,0,0,0
MCH9951,Natt Group,5912,Pharmacies,partnership,Madras,Tamil Nadu,2024-02-05 00:00:00,TSMH8783182679043,ACTIVE,1765.37,mch9951,0,0,0,0,0,0,0
MCH4962,venkataraman-mannan,5942,Books,private_limited,Chennai,Tamil Nadu,2025-07-15 06:02:14,8238766790,ACTIVE,266.61,mch4962,0,0,0,0,0,0,0
MCH1541,Bhattacharyya-Hans,7011,Hotels,PRIVATE-LIMITED,kolkata,West Bengal,2024-03-24 00:00:00,XXXX2848,ACTIVE,621.01,MCH1541,0,0,0,0,0,0,0
MCH3442,Kuruvilla Ltd,5411,Grocery,partnership,Hyd,Telangana,2023-04-11 00:00:00,,INACTIVE,1281.68,mch3442,0,0,0,1,0,0,0
MCH9993,Chadha-Tailor,5942,Book Store,private_limited,Ludhiana,Punjab,2026-01-05 00:00:00,,INACTIVE,2368.65,MCH 9993,0,0,0,1,0,0,0
8365,Som-Dhar,5999,Misc Retail,individual,pune,Maharashtra,2025-08-30 00:00:00,,ACTIVE,269.48,8365,0,0,0,1,0,0,0
MCH2536,Divan-Radhakrishnan,4131,transprt,PRIVATE-LIMITED,Poona,Maharashtra,2025-07-09 00:00:00,NWSY9894058484946,ACTIVE,,MCH-2536,0,1,0,0,0,0,0
MCH6777,LALL-DATE,5411,groceries,PARTNERSHIP,LKO,Uttar Pradesh,2023-12-20 14:05:11,XXXX6676,ACTIVE,1143.87,MCH6777,0,0,0,0,0,0,0
MCH8152,chaudhari plc,9120,Pharmacy,SOLE-PROPRIETOR,Jalandhar,Punjab,2023-07-24 20:56:00,,ACTIVE,1648.01,MCH8152,0,0,0,1,0,0,0
MCH2665,"Arora, Bir and Mahal",5311,Retail,SOLE_PROPRIETOR,LKO,Uttar Pradesh,2024-11-15 20:23:00,3459659161,INACTIVE,2101.74,MCH 2665,0,0,0,0,0,0,0
MCH1384,THAKUR-BEN,4814,Telecom,INDIVIDUAL,Hyderabad,Telangana,2023-11-04 00:00:00,,ACTIVE,1433.16,MCH1384,0,0,0,1,0,0,0
MCH4729,parmer-kulkarni,5311,DEPT_STORE,INDIVIDUAL,Bangalore,Karnataka,2023-09-03 15:34:00,,ACTIVE,1384.93,MCH-4729,0,0,0,1,0,0,0
MCH6326,"Barad,MurtyandTella",5942,BOOKS_STATIONERY,PRIVATE-LIMITED,chennai,Tamil Nadu,2024-06-22 18:08:00,LQXK9607455160094,ACTIVE,-671.62,mch6326,1,0,0,0,0,0,0
MCH5563,"Dubey, Wali and Yadav",,garments,sole_proprietor,kolkata,West Bengal,2024-01-28 00:00:00,5163059320,ACTIVE,0.2198,MCH5563,0,0,1,0,0,0,0
MCH3063,Bansal Inc,4131,Transport,INDIVIDUAL,JPR,Rajasthan,2025-07-02 00:00:00,,INACTIVE,282.67,MCH3063,0,0,0,1,0,0,0
MCH7974,"Verma, Koshy and Bhardwaj",5411,GROCERY_STORE,individual,Jaipur,Rajasthan,2023-10-04 00:00:00,7985944544,ACTIVE,460.5,MCH7974,0,0,0,0,0,0,0
MCH5575,Sandal LLC,5411,kirana,partnership,Chennai,Tamil Nadu,2024-02-13 00:00:00,XXXX5528,ACTIVE,5255.72,MCH5575,0,0,0,0,0,0,0
MCH7433,"Sahota, Desai and Sarma",5999,Misc Retail,INDIVIDUAL,pune,Maharashtra,2024-02-24 00:00:00,,ACTIVE,867.14,MCH7433,0,0,0,1,0,0,0
MCH1454,WableInc,5999,Misc Retail,INDIVIDUAL,Lucknow,Uttar Pradesh,2025-06-18 00:00:00,7787448001,ACTIVE,0.2617,MCH-1454,0,0,0,0,0,0,0
MCH1331,"Garg, Bobal and Jain",4131,TRAVEL,individual,Calcutta,West Bengal,2024-06-29 00:00:00,,ACTIVE,3720.61,MCH1331,0,0,0,1,0,0,0
MCH1168,Sekhon Inc,5411,Grocery,SOLE_PROPRIETOR,Hyd,Telangana,2025-07-26 21:06:00,,ACTIVE,0.6003,MCH1168,0,0,0,1,0,0,0
MCH5283,"Verma, Narasimhan and Balan",,Pharmacies,Individual,delhi,Delhi,2026-02-05 00:00:00,,INACTIVE,0.1266,MCH5283,0,0,1,1,0,0,0
MCH2698,KalaLLC,7011,hotel_lodging,individual,lucknow,Uttar Pradesh,2023-08-19 00:00:00,YXNF3515433387898,INACTIVE,3590.19,MCH2698,0,0,0,0,0,0,0
MCH6451,Chandran Group,5311,Department Store,INDIVIDUAL,Jalandar,Punjab,2025-10-07 00:00:00,5694147499,INACTIVE,165.95,MCH6451,0,0,0,0,0,0,0
MCH2255,Lal Ltd,5311,Department Stores,individual,JPR,Rajasthan,2023-05-29 00:00:00,6674150314,ACTIVE,1404.67,MCH2255,0,0,0,0,0,0,0
MCH7312,Ramakrishnan-Banerjee,5311,Retail,sole_proprietor,mumbai,Maharashtra,2024-02-24 11:03:00,CCCL8077324997121,ACTIVE,977.96,mch7312,0,0,0,0,0,0,0
MCH8549,"Amb1e, Sangha and C0mar",4814,TELECOM,INDIVIDUAL,ludhiana,Punjab,2026-01-12 00:00:00,XXXX7799,ACTIVE,1130.69,MCH8549,0,0,0,0,0,0,0
MCH9784,lal ltd,5812,eating place,PARTNERSHIP,Madras,Tamil Nadu,2024-12-28 05:21:00,XXXX3001,ACTIVE,1442.84,MCH9784,0,0,0,0,0,0,0
MCH5395,"Dada, Jani and Kaul",9420,Stationery,Partnership,Madras,Tamil Nadu,2025-03-06 00:00:00,,ACTIVE,-698.53,MCH5395,1,0,0,1,0,0,0
MCH6067,Chaw1a-Gangu1y,,Hospitality,sole_proprietor,mumbai,Maharashtra,2025-12-03 00:00:00,FNQE1460028710860,INACTIVE,700.95,MCH6067,0,0,1,0,0,0,0
MCH4786,EDWIN PLC,5699,Clothing,INDIVIDUAL,Ludhiana,Punjab,2024-12-15 00:00:00,4903394968,ACTIVE,3435.22,MCH4786,0,0,0,0,0,0,0
MCH3559,Chokshi Inc,8120,Food,private_limited,bengaluru,Karnataka,2024-12-23 00:00:00,XXXX5330,SUSPENDED,-535.7,MCH3559,1,0,0,0,0,1,0
MCH3955,"Swamy, Dhingra and Sheth",3110,Department Stores,Individual,Chennai,Tamil Nadu,2024-11-25 00:00:00,,SUSPENDED,0.508,MCH3955,0,0,0,1,0,1,0
MCH3558,"Bhattacharyya, Mahal and Setty",4131,transprt,partnership,jaipur,Rajasthan,2023-07-28 00:00:00,7325110455,ACTIVE,4448.97,MCH3558,0,0,0,0,0,0,0
MCH2879,"Pillay, Vora and Karnik",5812,Restaurant,INDIVIDUAL,LDH,Punjab,2024-05-20 19:55:26,9486638654,ACTIVE,,MCH2879,0,1,0,0,0,0,0
MCH3340,VARTY-CHOKSHI,5999,Miscellaneous,PARTNERSHIP,Chennai,Tamil Nadu,2023-04-07 03:02:50,,ACTIVE,311.76,MCH-3340,0,0,0,1,0,0,0
MCH6403,"Sahni, Kapur and Ganesh",,CLOTHS,private_limited,Madras,Tamil Nadu,2024-05-30 00:00:00,,ACTIVE,344.49,MCH6403,0,0,1,1,0,0,0
MCH3455,Singhal LLC,5311,Department Store,INDIVIDUAL,Jalandar,Punjab,2026-01-06 05:10:00,,ACTIVE,11222.95,MCH 3455,0,0,0,1,0,0,0
MCH8578,Bhatt LLC,4131,transprt,SOLE-PROPRIETOR,Poona,Maharashtra,2023-08-26 23:42:00,QYMF1422119480722,INACTIVE,2462.04,MCH8578,0,0,0,0,0,0,0
MCH4277,Chaudhry-Karpe,4131,Transportation,private_limited,ludhiana,Punjab,2023-11-09 07:01:01,,ACTIVE,-3362.42,MCH4277,1,0,0,1,0,0,0
MCH8716,"Naik, Chada and Divan",5999,Other,private_limited,LDH,Punjab,2023-01-11 00:00:00,EDPS0799008597487,ACTIVE,225.43,MCH8716,0,0,0,0,0,0,0
MCH9697,Walla Ltd,,telecom,INDIVIDUAL,Bangalore,Karnataka,2025-07-21 00:00:00,,ACTIVE,1081.86,MCH 9697,0,0,1,1,0,0,0
1170,"Wali, Bala and Sanghvi",5311,Department Store,SOLE-PROPRIETOR,BLR,Karnataka,2023-04-01 15:30:00,,INACTIVE,1109.65,1170,0,0,0,1,0,0,0
MCH8705,"Sahota, Kale and Patil",4131,transprt,Private Limited,delhi,Delhi,2024-11-10 00:00:00,XXXX9019,ACTIVE,1127.21,MCH8705,0,0,0,0,0,0,0
MCH6875,BUCH LTD,5912,chemist,Individual,LKO,Uttar Pradesh,2023-07-02 00:00:00,,ACTIVE,2704.27,MCH6875,0,0,0,1,0,0,0
MCH5146,Wadhwa-Swamy,5311,Department Stores,partnership,Jalandhar,Punjab,2023-11-05 00:00:00,,ACTIVE,,MCH 5146,0,1,0,1,0,0,0
MCH7239,Tata-Hayer,7011,Hotel,INDIVIDUAL,Madras,Tamil Nadu,2025-06-09 00:00:00,MPZF9929757844428,ACTIVE,1929.61,MCH7239,0,0,0,0,0,0,0
MCH7925,BADAMI GROUP,7011,HOTEL_LODGING,Sole Proprietor,Hyderabad,Telangana,2023-07-01 00:00:00,IVGP0940394312057,ACTIVE,,MCH7925,0,1,0,0,0,0,0
MCH3625,Lall Inc,5699,Fashion,INDIVIDUAL,Kolkata,West Bengal,2023-07-16 00:00:00,8363629876,INACTIVE,691.1,MCH3625,0,0,0,0,0,0,0
MCH6999,srinivasan-agate,8120,eating place,partnership,Hyd,Telangana,2023-02-22 17:51:00,,ACTIVE,1015.19,MCH6999,0,0,0,1,0,0,0
MCH9868,"Bedi, Konda and Kant",5912,MEDICAL_STORE,INDIVIDUAL,jaipur,Rajasthan,2023-01-02 06:58:00,XXXX9285,ACTIVE,444.97,MCH9868,0,0,0,0,0,0,0
MCH5356,"Solanki, Kala and Loke",4814,Mobile Recharge,PARTNERSHIP,Hyderabad,Telangana,2023-01-03 00:00:00,TUAH3044152488223,ACTIVE,-827.01,MCH5356,1,0,0,0,0,0,0
MCH3953,"Ray, Minhas and Yohannan",5411,Grocery Stores,Sole Proprietor,kolkata,West Bengal,2023-03-18 00:00:00,XXXX6303,ACTIVE,8126.93,MCH 3953,0,0,0,0,0,0,0
MCH3697,Cherian LLC,7011,Hotel,individual,Madras,Tamil Nadu,2023-11-04 13:30:00,,ACTIVE,2525.65,MCH-3697,0,0,0,1,0,0,0
MCH6046,"Palla, Yadav and Bhatnagar",5999,Other,INDIVIDUAL,Bengaluru,Karnataka,2024-03-27 20:41:48,,ACTIVE,2396.76,MCH6046,0,0,0,1,0,0,0
MCH7759,"SANKARAN, PATEL AND NARAIN",5699,Apparel,sole_proprietor,Kolkata,West Bengal,2025-10-15 13:32:26,EADV1032511266518,ACTIVE,,MCH7759,0,1,0,0,0,0,0
MCH5657,Natt-Goel,5999,Miscellaneous,individual,Dilli,Delhi,,,ACTIVE,0.1355,MCH5657,0,0,0,1,1,0,0
MCH2432,Parmar-Parmer,4131,Transportation,Individual,Calcutta,West Bengal,,,ACTIVE,2557.63,MCH 2432,0,0,0,1,1,0,0
MCH5705,MUKHOPADHYAY AND SONS,5699,Apparel,sole_proprietor,jalandhar,Punjab,2025-02-25 00:00:00,,ACTIVE,716.31,MCH5705,0,0,0,1,0,0,0
MCH1358,"CHAUDRY, BARAL AND MODI",4131,Transportation,INDIVIDUAL,Ludhiana,Punjab,2025-06-07 00:00:00,3312553110,ACTIVE,2115.38,MCH1358,0,0,0,0,0,0,0
MCH7337,NATH-NARAYAN,5699,CLOTHS,Individual,Hyd,Telangana,2024-07-28 00:00:00,,ACTIVE,3029.85,MCH7337,0,0,0,1,0,0,0
MCH9319,LadInc,6990,garments,sole_proprietor,Jalandhar,Punjab,2025-07-20 00:00:00,XXXX7774,ACTIVE,839.54,MCH9319,0,0,0,0,0,0,0
MCH5354,Khatri-De0,5942,Book Store,PARTNERSHIP,Jalandar,Punjab,,WCZU4810286661084,ACTIVE,,MCH5354,0,1,0,0,1,0,0
MCH6329,Srinivas-Banerjee,,MEDICAL_STORE,INDIVIDUAL,Kolkata,West Bengal,2024-05-12 00:00:00,XXXX2718,ACTIVE,199.46,MCH-6329,0,0,1,0,0,0,0
MCH3206,Ahuja-Din,5311,Retail,sole_proprietor,Hyderabad,Telangana,2026-01-11 13:50:54,XXXX4117,ACTIVE,0.1244,mch3206,0,0,0,0,0,0,0
MCH5632,Tandon Ltd,5311,DEPT_STORE,sole_proprietor,Bangalore,Karnataka,2025-05-29 12:56:08,,ACTIVE,270.52,MCH 5632,0,0,0,1,0,0,0
MCH8355,"Virk, Sarna and Sangha",5812,Restaurants,INDIVIDUAL,Mumbai,Maharashtra,2023-10-09 00:00:00,0702210119,ACTIVE,0.3279,MCH8355,0,0,0,0,0,0,0
MCH3281,Ranganathan and Sons,5311,Retail,Partnership,kolkata,West Bengal,2024-03-01 00:00:00,XXXX9655,ACTIVE,-649.49,MCH3281,1,0,0,0,0,0,0
MCH2978,Deshpande LLC,7011,Hospitality,private_limited,Lucknow,Uttar Pradesh,2023-02-01 23:57:31,XXXX0228,ACTIVE,194.6,mch2978,0,0,0,0,0,0,0
3399,Rana-Talwar,9120,MEDICAL_STORE,PRIVATE-LIMITED,mumbai,Maharashtra,2024-03-30 09:48:22,6585786984,ACTIVE,575.9,3399,0,0,0,0,0,0,0
MCH7219,Dhawan-Saha,0110,HOTEL_LODGING,INDIVIDUAL,Dilli,Delhi,2026-06-01 00:00:00,HJFW5603026154965,INACTIVE,2354.94,MCH7219,0,0,0,0,0,0,0
MCH3757,Chokshi PLC,4814,TELECOM,Private Limited,Jaipur,Rajasthan,2025-10-23 10:04:00,KUIQ2748561079701,ACTIVE,2492.69,MCH3757,0,0,0,0,0,0,0
MCH1214,Padmanabhan Gr0up,4814,TELECOM,individual,Amritsar,Punjab,2025-08-24 00:00:00,,ACTIVE,-362.46,MCH1214,1,0,0,1,0,0,0
MCH2249,Bahri-Nagarajan,7011,HOTEL_LODGING,SOLE_PROPRIETOR,Ludhiana,Punjab,2024-11-17 00:00:00,0364290572,ACTIVE,590.8,MCH2249,0,0,0,0,0,0,0
MCH9098,Manda and Sons,5812,Restaurants,PARTNERSHIP,bengaluru,Karnataka,2024-03-03 16:14:27,XXXX2826,ACTIVE,0.87,MCH 9098,0,0,0,0,0,0,0
MCH7932,SETHI LTD,8140,Telecom,Private Limited,Bengaluru,Karnataka,2025-04-20 22:28:00,AUYT1495828220876,ACTIVE,4410.18,MCH7932,0,0,0,0,0,0,0
MCH1216,"Agarwal, Dave and Vala",7011,Hotels,SOLE-PROPRIETOR,chennai,Tamil Nadu,2024-10-18 00:00:00,,ACTIVE,2228.42,MCH1216,0,0,0,1,0,0,0
MCH3497,"Gokhale, Parmer and Contractor",,Transport,INDIVIDUAL,jalandhar,Punjab,2023-11-03 21:39:51,,ACTIVE,-403.24,mch3497,1,0,1,1,0,0,0
8517,"Bandi, Bir and Buch",5912,chemist,individual,Dilli,Delhi,2025-05-12 00:00:00,XXXX8958,ACTIVE,2544.34,8517,0,0,0,0,0,0,0
MCH3567,Kala Ltd,4814,TELECOM,Sole Proprietor,amritsar,Punjab,2023-05-15 00:00:00,0120134197,ACTIVE,1794.62,MCH3567,0,0,0,0,0,0,0
MCH6890,Pandit-Narasimhan,7011,Hotel,private_limited,Calcutta,West Bengal,2024-04-21 00:00:00,XXXX8046,INACTIVE,525.87,MCH6890,0,0,0,0,0,0,0
MCH6632,"Om, Mall and Sandhu",,Bus/Taxi,PARTNERSHIP,Lucknow,Uttar Pradesh,2023-07-28 00:00:00,XXXX3092,HOLD,996.13,MCH6632,0,0,1,0,0,0,0
MCH7269,La11-Raman,4814,TELECOM,PRIVATE_LIMITED,LKO,Uttar Pradesh,2023-10-25 09:50:57,4846136502,ACTIVE,1031.92,MCH7269,0,0,0,0,0,0,0
MCH4180,Dave-Oza,,BOOKS_STATIONERY,SOLE_PROPRIETOR,DELHI,Delhi,2024-01-08 00:00:00,,ACTIVE,394.99,MCH4180,0,0,1,1,0,0,0
MCH1492,"PANCHAL, BAIL AND NADKARNI",5912,Medical,sole_proprietor,Jaipur,Rajasthan,2024-07-05 00:00:00,,HOLD,6674.02,MCH1492,0,0,0,1,0,0,0
MCH5210,NATARAJAN LLC,4131,transprt,PARTNERSHIP,Lucknow,Uttar Pradesh,2023-08-25 00:00:00,,ACTIVE,2522.68,mch5210,0,0,0,1,0,0,0
MCH6115,Padmanabhan-Chahal,,Retail,Private Limited,Bombay,Maharashtra,2024-03-01 00:00:00,XXXX5769,INACTIVE,266.65,MCH6115,0,0,1,0,0,0,0
MCH5950,Dey-Raj,5999,Retail Other,SOLE-PROPRIETOR,amritsar,Punjab,2025-11-29 00:00:00,0371217445,ACTIVE,-3256.77,MCH5950,1,0,0,0,0,0,0
MCH3556,Andra-Nagar,5999,Misc Retail,Sole Proprietor,pune,Maharashtra,2025-05-04 18:43:19,,ACTIVE,1107.13,MCH3556,0,0,0,1,0,0,0
MCH4842,Pa11a LLC,5942,Stationery,INDIVIDUAL,Calcutta,West Bengal,2024-12-19 00:00:00,XXXX0707,ACTIVE,0.3127,MCH4842,0,0,0,0,0,0,0
MCH6831,"Kothari, De and Arora",5999,Retail Other,Individual,Kolkata,West Bengal,2025-11-17 16:43:00,FVLK6104664273261,SUSPENDED,,MCH6831,0,1,0,0,0,1,0
MCH2922,Chhabra-Jha,5999,Retail Other,sole_proprietor,Bombay,Maharashtra,2024-10-10 00:00:00,FAIS4263479017973,ACTIVE,-1096.49,MCH2922,1,0,0,0,0,0,0
MCH8509,"Majumdar, Deshpande and Solanki",5311,DEPT_STORE,PARTNERSHIP,BLR,Karnataka,2024-09-17 00:00:00,XXXX5135,INACTIVE,-1098.85,MCH8509,1,0,0,0,0,0,0
MCH3604,"Shetty, Bali and Sama",5411,groceries,Partnership,Ludhiana,Punjab,2023-01-04 01:07:44,IQHJ3383226507557,ACTIVE,0.394,mch3604,0,0,0,0,0,0,0
MCH9785,Nagarajan PLC,5699,CLOTHS,INDIVIDUAL,MUMBAI,Maharashtra,2025-08-06 00:00:00,,ACTIVE,2709.78,MCH9785,0,0,0,1,0,0,0
MCH1447,"Dara, Om and Chaudhry",5699,garments,PRIVATE_LIMITED,Bangalore,Karnataka,2023-04-29 00:00:00,NJHB3866390601882,INACTIVE,0.373,mch1447,0,0,0,0,0,0,0
MCH7659,"Pandya, Bakshi and Chaudhary",4131,Transport,private_limited,Madras,Tamil Nadu,2023-04-16 18:19:00,FNTE9764699509957,ACTIVE,1564.19,MCH7659,0,0,0,0,0,0,0
MCH1600,"warrior, anand and kata",5311,Department Store,INDIVIDUAL,chennai,Tamil Nadu,2025-10-07 00:00:00,DNAN6947992423478,ACTIVE,2937.03,MCH1600,0,0,0,0,0,0,0
MCH8561,Mahal-Talwar,9120,chemist,INDIVIDUAL,Poona,Maharashtra,2024-11-21 00:00:00,XXXX1106,ACTIVE,892.64,MCH8561,0,0,0,0,0,0,0
MCH4029,Kuruvilla and Sons,5411,Grocery Stores,PRIVATE-LIMITED,pune,Maharashtra,,DGMS6783095939908,ACTIVE,55.43,MCH4029,0,0,0,0,1,0,0
MCH1392,Johal-Gaba,5912,Medical,PRIVATE-LIMITED,pune,Maharashtra,2024-02-20 00:00:00,XXXX9354,INACTIVE,4352.7,MCH1392,0,0,0,0,0,0,0
MCH4985,HAYRE AND SONS,5942,Books,Partnership,Lucknow,Uttar Pradesh,2023-01-08 00:00:00,PXAE0911368692866,ACTIVE,1981.89,MCH4985,0,0,0,0,0,0,0
MCH8808,"Kothari, Bansal and Gupta",,Stationery,Individual,BLR,Karnataka,2025-09-19 01:30:00,9868014892,ACTIVE,0.38,MCH8808,0,0,1,0,0,0,0
MCH7137,Krishna-Palan,4814,Telecom,Partnership,ludhiana,Punjab,2025-09-29 00:00:00,GJTY8331565779502,ACTIVE,,MCH7137,0,1,0,0,0,0,0
MCH2813,"Sha, Bhatia and Vig",,DEPT_STORE,INDIVIDUAL,chennai,Tamil Nadu,2024-10-24 13:37:28,5399147177,ACTIVE,3821.16,mch2813,0,0,1,0,0,0,0
MCH1375,Golla and Sons,5912,Medical,PARTNERSHIP,Bengaluru,Karnataka,2023-01-08 13:43:00,,ACTIVE,503.66,MCH1375,0,0,0,1,0,0,0
MCH2074,D’Alia Inc,5699,Fashion,partnership,jaipur,Rajasthan,2025-10-22 19:54:55,VRCT7941741947399,ACTIVE,1616.2,MCH2074,0,0,0,0,0,0,0
MCH1256,Vala Inc,5912,MEDICAL_STORE,SOLE_PROPRIETOR,kolkata,West Bengal,2025-01-17 00:00:00,,BLOCKED,1415.24,MCH1256,0,0,0,1,0,0,1
8440,"Chacko, Natarajan and Menon",5999,Other,individual,Mumbai,Maharashtra,2025-01-19 00:00:00,,ACTIVE,775.41,8440,0,0,0,1,0,0,0
MCH3060,Deep-Tata,5311,DEPT_STORE,INDIVIDUAL,ASR,Punjab,2023-04-17 00:00:00,,ACTIVE,-2601.81,MCH3060,1,0,0,1,0,0,0
MCH4025,Hegde-Sule,5311,Retail,Individual,HYDERABAD,Telangana,,XXXX6804,INACTIVE,1108.29,MCH4025,0,0,0,0,1,0,0
MCH6970,CHOPRA-LOKE,5311,Department Store,PARTNERSHIP,JPR,Rajasthan,2025-02-13 00:00:00,,ACTIVE,564.18,MCH6970,0,0,0,1,0,0,0
MCH2850,Reddy-Kara,4131,Bus/Taxi,Private Limited,jaipur,Rajasthan,2024-04-22 00:00:00,XXXX7186,ACTIVE,-953.86,MCH 2850,1,0,0,0,0,0,0
MCH5117,"Parikh, Sengupta and Chander",7011,Hotel,PARTNERSHIP,Chennai,Tamil Nadu,2023-01-26 23:39:00,,SUSPENDED,266.62,mch5117,0,0,0,1,0,1,0
